SType,dim1,dim2,dim3,dim4,dim5
T1,0.13967,0.45762,0.02056,0.18597,0.05328
T3,0.11096,0.2885,0.02017,-0.07066,0.0716
T4,0.13934,0.35251,-0.13217,0.0961,0.06604
T5,0.35013,0.33141,-0.0043,0.14665,0.06787
