SType,dim1,dim2,dim3,dim4,dim5
T1,0.004963866,0.006905572,0.00392153,0.002847552,0.006165493
T3,0.031745299,0.039950526,0.02867031,0.06375307,0.002354484
T4,0.002465049,0.015254338,0.01577456,0.008423478,0.002533991
T5,0.014127717,0.007511661,0.00258271,0.002858942,0.001852936
