SType,dim1,dim2,dim3,dim4,dim5
T1,0.1501008,0.47730308,0.03030754,0.19543136,0.07198724
T3,0.166012292,0.414081528,0.061336736,0.112080972,0.077373541
T4,0.147218092,0.395209086,-0.094870457,0.118342306,0.072951272
T5,0.405442948,0.339189443,0.000506693,0.152024303,0.072886733
